Age,Salary,Experience,CreditScore,LoanAmount,LoanApproved
45,26622,14,500,27192,0
44,73756,10,744,33230,1
33,65809,15,623,44930,0
27,41725,22,334,27625,0
56,86396,5,781,37088,1
40,76226,13,779,19114,1
21,131296,17,364,46167,0
28,106182,11,307,43401,0
36,107565,10,600,10755,1
34,54402,12,642,15825,0
32,29263,20,730,27693,1
43,148489,22,723,9117,1
35,121523,10,631,29729,1
48,71828,22,737,37182,1
54,145824,15,887,33890,1
22,72924,14,473,34340,1
52,99182,20,858,6518,1
43,118065,14,826,35949,1
42,84052,24,325,27547,1
45,36664,3,705,21346,0
42,60737,10,531,7600,1
42,126332,18,832,34267,1
62,114563,14,849,41322,1
26,54373,3,804,31990,0
35,142369,20,478,21193,1
63,61397,12,431,35109,1
57,111145,21,754,24233,1
53,126371,18,647,21194,1
28,63709,1,839,39510,1
64,141074,13,705,6306,1
64,86120,3,375,8849,0
25,44250,15,878,17360,1
59,46172,20,791,34231,1
24,36555,19,493,41963,0
26,112410,13,461,23689,1
52,103617,14,646,34084,1
50,78276,2,660,45387,0
55,82492,7,883,14280,1
60,78002,15,386,7642,1
36,145103,9,561,47137,0
33,149938,3,513,19296,0
62,114599,17,872,20438,1
50,97355,1,561,42525,0
39,116248,16,582,7994,1
37,49762,12,766,39039,1
39,36046,3,679,6813,0
48,121999,24,661,32491,1
46,149130,10,748,23845,1
57,141021,6,740,46243,1
46,53769,11,392,42164,0
43,78302,9,723,47051,1
29,48150,6,441,18318,0
32,93247,12,590,22200,1
21,29853,6,731,5082,1
21,119613,23,348,6920,1
54,145900,16,601,45585,0
52,114399,9,489,16683,1
45,46792,9,435,16336,0
60,84129,23,854,20596,1
21,131019,3,703,7093,1
36,99478,19,640,17905,1
59,138811,3,617,29351,0
25,139130,21,662,35981,1
42,92298,6,681,13367,1
49,56987,21,532,10285,0
23,40850,0,643,48664,0
32,37112,11,848,42705,0
46,146789,23,852,21753,1
36,49058,12,828,23485,1
57,70420,9,870,17977,1
42,63890,14,482,24874,1
49,91017,12,340,12674,1
34,72304,22,850,34038,1
48,57921,21,696,34315,1
25,130921,21,793,8676,1
50,26524,20,632,7426,0
25,125424,21,426,29473,1
32,40048,8,857,7962,1
36,60111,8,856,34943,1
46,62904,14,300,5859,1
46,79912,9,467,49816,0
41,59008,23,318,9138,0
59,25060,24,631,40192,0
56,99666,9,883,30640,1
53,108559,7,755,15409,1
50,80337,23,408,9017,1
57,135616,15,567,15451,1
43,38350,16,744,33327,1
30,49354,4,539,15278,0
25,70186,3,600,29944,0
56,53145,17,402,48764,0
54,59020,23,549,6134,0
51,111123,18,752,35131,1
30,131667,3,819,42887,0
39,100186,6,452,43462,0
52,110469,9,473,27520,1
21,45581,24,642,26869,0
25,113929,17,730,41932,1
24,48051,18,623,10039,0
36,76474,3,719,26281,1
44,116748,9,893,15442,1
36,139618,0,784,13252,1
22,94626,22,711,32586,1
48,31960,17,383,22568,0
52,60772,4,412,25810,1
47,46520,14,631,6551,0
40,74481,16,677,17625,1
44,61408,2,340,39397,0
32,119006,11,404,31249,1
55,82134,1,501,6361,0
53,45491,0,749,31149,0
53,26341,22,565,9370,0
63,69623,20,509,10283,1
57,115327,16,862,12610,1
32,25338,21,417,48326,0
23,96431,15,676,19924,1
21,37254,4,850,49717,0
53,76860,14,839,15626,1
60,36344,2,383,39761,0
30,26750,6,753,5869,1
63,79756,10,813,36552,1
64,92957,9,686,6014,1
49,130423,8,649,15103,1
33,83053,13,595,21986,1
32,95855,12,557,49781,0
51,40896,24,380,35471,0
22,80761,24,567,38458,1
55,87552,1,718,30069,1
43,145075,2,534,21873,0
37,102454,6,610,28248,1
46,143681,20,656,28624,1
28,115600,17,512,48516,0
49,147732,2,873,34061,1
46,137153,9,348,29170,1
30,147926,21,426,13024,1
46,52935,6,522,21678,0
54,62641,8,578,43256,0
61,54711,16,707,25411,1
27,95342,10,804,48803,1
24,131896,6,593,24296,1
31,37182,23,576,31293,0
49,112833,13,737,32172,1
56,81276,18,406,26128,1
45,44541,3,719,23257,0
41,119457,5,728,17855,1
56,107310,9,674,24642,1
30,69813,6,372,40585,0
57,62198,12,329,25025,1
29,33820,13,487,9458,0
44,49070,3,663,10307,0
55,94768,7,750,46701,1
55,36122,4,494,23425,0
56,105559,0,455,48427,0
38,98543,3,471,33273,0
59,108441,2,340,43506,0
52,66786,8,362,10668,1
44,119934,7,322,30934,1
43,124804,0,659,12697,1
52,31737,5,374,29417,0
57,61062,8,859,21446,1
32,79237,6,417,45597,0
33,76571,3,679,15751,1
43,50510,12,589,12352,0
45,44426,16,739,18516,1
55,62265,1,306,28299,0
61,42850,4,495,36957,0
50,143249,11,720,33927,1
37,91150,20,867,46094,1
40,112312,7,492,41412,0
45,114613,5,858,34493,1
42,99910,7,447,31711,1
33,77375,17,501,13003,1
39,146826,2,743,36707,1
56,60435,21,718,8278,1
32,121443,11,726,12296,1
61,82132,2,778,30398,1
39,103945,21,774,40842,1
32,107050,5,425,18261,1
29,120402,1,694,16173,1
27,27983,22,875,35449,1
48,122241,11,624,46080,0
34,45662,1,691,6637,0
51,48510,5,739,36781,1
39,103187,16,503,18652,1
36,65998,2,785,10103,1
25,81846,1,330,30500,0
55,119071,22,687,39800,1
32,31640,19,733,40529,0
45,69547,7,675,23452,1
41,79620,21,643,36174,1
56,40317,11,742,40436,0
43,140608,3,878,20954,1
36,32564,4,374,22186,0
59,52345,12,856,17356,1
62,138824,14,454,37963,1
59,119223,24,729,7187,1
34,148372,22,662,16707,1
51,104273,15,747,40098,1
25,99859,9,533,31935,1
55,105765,24,862,26225,1
43,135017,22,561,8606,1
49,99038,15,424,37828,1
63,148618,11,544,31489,1
31,77393,16,841,19387,1
38,91081,15,784,8927,1
32,127650,11,421,11296,1
29,54430,7,424,35444,0
30,100532,19,848,7591,1
64,52788,2,469,49895,0
37,120505,15,423,31147,1
58,73543,12,334,43889,0
27,38919,22,386,6200,0
33,94346,18,500,20721,1
60,121122,7,668,24238,1
62,64974,21,376,16087,1
29,132309,4,358,35816,1
47,41371,19,730,28408,1
22,70084,7,799,44740,1
25,54629,23,408,5136,0
49,76184,11,577,22413,1
57,86916,0,367,23978,0
58,98972,24,368,5661,1
39,87187,20,464,40240,0
28,37984,19,788,32253,1
21,58039,5,604,31884,0
42,110431,21,664,37854,1
37,108691,17,678,15704,1
27,83606,7,642,43987,0
45,35616,6,853,29527,1
24,127665,0,653,21322,1
56,130373,20,715,11968,1
26,75072,15,408,32518,1
51,49574,11,862,32886,1
39,28430,5,796,6700,1
64,144123,19,640,33246,1
59,37676,1,682,40468,0
47,35816,13,832,28199,1
30,57733,3,599,49589,0
46,110680,0,438,37115,0
39,27050,22,658,10520,1
59,134996,17,798,49278,1
23,58933,12,684,41455,0
33,49951,1,579,25929,0
48,57413,8,782,46605,0
40,59801,20,410,19955,0
48,80619,1,438,49049,0
28,57913,24,734,18917,1
61,137573,8,808,9757,1
59,144076,0,572,18045,0
21,65600,10,398,46680,0
23,82775,2,403,9733,0
33,115816,19,513,35954,1
48,115093,22,464,36135,1
45,137590,3,819,12081,1
53,60400,17,583,46458,0
58,29494,22,816,28501,1
26,105688,5,463,26113,1
64,147744,2,363,39441,0
52,114431,21,390,29690,1
41,99691,10,416,48939,0
36,122419,14,566,34345,1
41,133730,21,858,49571,1
31,68001,4,439,31829,1
57,92364,19,545,40062,0
56,149988,9,694,8630,1
55,70028,11,786,36870,1
39,132434,14,775,49942,1
40,122659,16,816,8453,1
38,62573,9,483,42275,0
61,25806,5,319,48370,0
34,149343,17,857,43396,1
35,81638,12,823,13328,1
51,131506,2,881,20534,1
21,54757,23,828,24744,1
23,59636,9,446,24389,0
36,105097,13,603,41320,0
43,73280,5,881,40010,1
31,49262,2,527,19665,0
32,105435,15,401,42865,0
30,87211,6,886,13640,1
52,79842,19,716,39716,1
36,81979,13,515,30521,1
28,139524,8,706,35049,1
58,106470,14,698,10618,1
32,63197,20,798,42004,1
44,66844,2,764,6920,1
48,89754,1,381,48937,0
28,126868,1,664,9188,1
48,59157,2,462,17207,0
56,102129,17,347,5238,1
46,65042,13,810,37972,1
28,86665,19,628,15799,1
48,140512,17,415,10552,1
48,141953,9,636,33916,1
57,107856,24,446,9927,1
61,52376,1,874,32964,0
56,134049,24,622,16164,1
47,80554,21,742,42158,1
37,39199,0,312,24071,0
29,143533,3,793,11160,1
53,106412,13,586,20810,1
40,75948,0,413,10126,0
33,98781,13,779,35009,1
48,97750,15,321,38584,1
49,91262,21,648,30396,1
33,142424,13,865,5192,1
55,71600,19,619,41413,0
26,101898,2,425,17816,0
38,87483,2,576,44082,0
25,43297,8,503,37130,0
45,55448,5,493,45142,0
22,51172,24,846,41468,0
30,67874,12,585,35698,1
50,32657,20,356,15655,0
25,109386,1,602,35075,0
53,50425,7,462,14359,0
21,51685,20,318,41661,0
38,147000,1,669,44579,0
52,137855,3,563,47056,0
31,49578,24,412,38272,0
41,53831,14,787,47581,0
46,32906,3,626,19671,0
45,86413,12,841,32048,1
42,79028,11,878,15738,1
47,32287,12,364,30963,0
33,58660,13,591,48954,0
53,100758,19,324,11773,1
54,85504,17,848,41584,1
61,84720,5,300,34894,1
55,127979,10,848,5717,1
21,59701,1,440,16676,0
41,108300,22,487,9434,1
26,135177,18,427,42825,0
48,42674,18,500,34100,0
37,108560,4,426,9994,1
25,136543,18,556,9234,1
51,48874,1,846,8764,0
25,68642,9,493,48949,0
58,148867,24,403,42405,0
23,122820,1,834,39872,1
43,90160,10,564,47215,0
57,42602,17,683,28185,1
57,128320,23,559,48442,0
30,113801,14,713,46153,1
30,50931,8,657,16999,1
39,119377,22,374,41487,0
37,54192,18,654,7581,1
41,71542,8,883,7763,1
34,67520,2,487,32374,0
29,89772,20,589,43759,0
21,83762,8,344,15531,1
33,75106,13,872,30307,1
24,106121,18,382,35835,1
21,50559,6,422,16064,0
60,130595,15,657,16312,1
52,58742,15,827,42548,0
54,94669,0,365,41945,0
48,105199,3,674,11476,1
51,46754,3,461,29565,0
28,28972,6,679,7382,1
59,95831,7,657,27463,1
46,137217,16,487,38402,1
54,66873,4,621,31345,1
23,119661,6,749,49764,1
32,131532,19,773,31946,1
21,34903,19,312,19162,0
64,28020,3,483,13397,0
25,66755,5,410,27335,1
50,110956,6,807,19394,1
50,111988,17,589,32197,1
37,70648,4,594,27010,1
43,128537,19,750,29123,1
35,34516,2,514,27387,0
57,137863,6,866,7890,1
41,140005,21,326,32769,1
34,27396,13,530,48626,0
22,109082,6,864,13026,1
31,44129,4,620,8306,0
59,26591,21,532,38665,0
58,36303,4,736,14277,1
54,55561,22,832,47239,0
58,96719,1,702,19683,1
54,143618,20,352,5670,1
38,117108,21,612,28675,1
50,124616,5,580,22889,1
35,149165,14,330,49535,0
47,111231,20,636,18006,1
54,32314,9,482,31531,0
58,142071,22,322,26639,1
53,44623,23,843,21633,1
44,92675,6,745,39660,1
35,137992,4,373,8439,1
50,121826,0,309,37172,0
62,90082,12,783,40622,1
37,108624,20,755,16577,1
25,130228,17,865,16763,1
49,58130,12,863,25176,1
24,76756,20,459,49386,0
30,122624,20,313,29255,1
37,51292,17,477,46003,0
30,136785,4,711,24996,1
37,111206,12,352,40386,0
40,94274,3,707,26062,1
44,27469,16,321,40931,0
25,78947,2,329,40710,0
54,47534,16,559,39693,0
26,88620,10,504,40740,0
22,73874,20,358,16705,1
33,74708,19,770,48408,1
63,99553,22,765,33047,1
63,93344,20,311,15966,1
31,74138,3,589,22374,0
43,79302,1,653,16138,1
36,72638,19,374,20935,1
51,103249,15,860,5489,1
31,130865,17,890,49516,1
36,27719,7,740,27260,1
28,47890,2,540,31069,0
24,102236,8,453,24275,1
60,61509,19,395,41284,0
24,67534,5,593,44178,0
45,127302,9,508,37821,1
23,117241,20,642,21999,1
52,43787,9,387,43712,0
23,73845,12,689,45172,1
47,82932,16,624,38722,1
49,117124,8,456,15625,1
52,116659,16,876,6629,1
39,58062,23,436,15973,0
41,100713,8,727,11859,1
25,112263,8,751,46609,1
38,120756,0,440,48307,0
48,85461,1,382,41046,0
62,100418,15,476,26839,1
42,91672,0,497,32216,0
41,59832,9,867,23945,1
26,56966,17,720,11539,1
21,97545,7,700,38625,1
25,37987,20,770,9886,1
61,62311,10,517,12485,1
32,56575,22,474,36455,0
46,88852,1,322,21767,0
54,26007,7,534,33453,0
34,95981,21,312,15744,1
46,101242,7,400,42102,0
47,72517,16,835,17226,1
29,135022,14,822,32869,1
46,54257,16,751,27588,1
42,112272,22,730,18440,1
50,67207,23,832,36709,1
63,38281,12,592,27495,0
37,86246,18,400,42019,0
46,26435,4,801,49948,0
56,123875,11,603,5922,1
21,125686,0,839,32526,1
28,116357,22,852,12957,1
55,51660,4,654,38998,1
35,30084,7,602,48395,0
42,107197,12,795,29031,1
34,38507,7,526,15006,0
46,97595,24,535,42701,0
48,108807,22,754,30939,1
43,70539,10,312,25324,1
34,140953,0,509,27867,0
44,32491,12,696,5203,1
22,137831,18,399,21544,1
46,75192,23,330,20899,1
34,105395,2,827,34063,1
27,148797,23,628,30344,1
23,88888,16,465,8748,1
43,98609,4,758,44486,1
63,34077,19,399,6093,0
38,142440,20,472,20228,1
58,147901,7,461,25884,1
55,45953,13,562,30183,0
35,101919,3,573,21034,0
45,139682,10,302,10710,1
57,146041,19,327,47500,0
48,92889,14,625,24259,1
30,48821,18,448,40959,0
59,62567,6,839,38457,1
37,140374,18,787,25143,1
59,49860,18,737,7103,1
42,46195,10,364,5365,0
46,102475,4,655,49535,1
64,115874,4,832,21103,1
45,112266,21,551,37510,1
37,46427,7,534,29476,0
33,125732,9,526,17742,1
40,52083,5,824,17391,1
45,112046,14,612,41940,0
24,82372,15,348,33901,1
30,148786,16,417,37001,1
23,69064,7,353,20623,1
61,32813,7,864,7378,1
38,56598,24,343,26372,0
56,137718,8,352,49799,0
42,118106,1,885,43437,0
54,52082,14,857,40503,0
28,54241,17,824,35746,1
60,121214,2,401,32923,0
64,69569,16,697,14867,1
39,36745,3,437,46258,0
62,51029,3,686,38724,0
61,38025,13,410,14306,0
57,126660,8,316,44391,0
26,148395,8,481,19908,1
46,39288,24,835,32081,1
54,114186,22,840,42228,1
26,31540,17,470,28386,0
57,122768,9,708,33302,1
53,106958,20,677,24212,1
42,93878,3,487,40618,0
41,66846,11,529,15698,1
26,126148,7,418,9594,1
26,100932,1,455,30525,0
24,42482,21,764,19282,1
50,48411,12,403,19334,0
31,75975,20,801,34179,1
50,85545,15,474,11644,1
51,137302,1,720,40618,0
44,103797,10,433,37933,1
29,77307,9,690,48469,1
23,28093,14,800,38687,1
51,102258,16,332,46073,0
60,47042,7,354,22375,0
57,77930,17,818,35926,1
56,142584,22,311,41607,0
44,69413,8,827,22642,1
51,138387,24,854,28993,1
26,118623,7,672,49386,1
22,122883,13,783,26188,1
40,58756,24,527,37596,0
48,78268,17,606,32772,1
31,64214,21,756,35857,1
24,106871,19,459,15776,1
35,53602,19,630,37835,0
26,78331,20,524,14788,1
50,73901,11,803,10660,1
58,124986,18,755,9478,1
22,88416,13,344,13210,1
35,57196,16,513,15922,0
31,30626,23,358,41289,0
28,32424,20,494,38340,0
46,37857,2,788,44850,0
64,135459,22,456,43163,0
25,140621,6,525,23642,1
26,44982,16,711,16094,1
46,101961,11,504,27423,1
24,26980,8,378,38418,0
39,73290,14,423,10741,1
40,51431,17,770,11838,1
53,109976,20,517,8262,1
40,132288,12,815,9996,1
32,107711,20,403,49594,0
21,139187,7,692,27164,1
46,51385,13,733,40595,0
34,63158,7,630,35257,1
58,48019,13,442,19211,0
57,43639,6,839,35453,1
31,110530,22,577,10232,1
56,124911,11,532,7217,1
33,46563,10,828,29229,1
63,64341,21,870,19232,1
23,140672,21,389,30613,1
53,30776,10,791,19026,1
26,61444,24,498,33554,1
30,93916,21,661,35908,1
25,33711,12,740,24610,1
43,99318,17,325,44605,0
30,107970,1,324,12031,0
64,137301,20,693,30515,1
22,110553,14,806,41484,1
33,55707,19,600,41182,0
60,64110,17,638,5570,1
22,86788,14,566,37254,1
40,107879,18,760,24288,1
21,63827,22,755,18288,1
57,132188,23,659,34877,1
29,30655,11,367,23889,0
37,69859,12,711,5917,1
29,78625,21,790,15066,1
31,77098,10,348,34504,1
35,40251,4,863,11982,1
44,147413,0,401,44104,0
58,25526,23,515,23062,0
55,93760,2,737,21999,1
50,72837,21,868,14941,1
51,36536,18,858,28470,1
25,53541,22,458,26133,0
64,104083,6,788,49435,1
34,76027,11,541,9529,1
31,59531,14,304,22519,0
29,33712,24,895,17192,1
54,129101,4,660,13566,1
32,90455,14,758,12226,1
55,99744,7,547,42930,0
55,146787,9,865,26259,1
21,30109,15,721,39087,1
60,146332,7,314,6141,1
42,74268,0,872,9627,1
49,125737,11,421,7690,1
28,79615,4,576,45091,0
31,107503,2,857,8255,1
61,148274,0,752,10213,1
57,54759,3,689,41876,0
34,110708,7,593,24404,1
50,85112,2,873,30380,1
55,127471,9,897,30520,1
41,148153,1,745,24173,1
57,51589,10,509,28989,0
25,55015,24,889,47570,0
39,54009,9,601,29519,0
34,108309,20,522,27439,1
46,87046,13,302,16413,1
24,131661,6,817,19995,1
45,51143,1,392,28559,0
62,31154,8,819,28513,1
45,46804,15,727,10021,1
38,66688,12,792,37464,1
60,89288,8,534,26119,1
28,76195,19,460,34299,1
59,45581,3,630,44350,0
60,77648,21,632,30517,1
34,55087,9,349,18117,0
52,74930,21,822,27250,1
58,57981,11,791,23950,1
53,94298,16,881,22359,1
43,71167,13,571,28596,1
35,100304,13,879,30530,1
53,68408,24,551,6262,1
45,64499,1,859,45150,0
37,77269,20,389,27615,1
