Age,MonthlyCharges,TenureMonths,InternetUsageGB,SupportCalls,CustomerChurn
59,123,68,635,2,0
23,80,18,486,2,0
32,142,29,256,5,0
54,28,59,437,5,0
50,25,47,529,3,0
25,92,17,840,14,0
22,122,22,936,14,0
56,60,68,887,8,0
21,133,69,389,3,0
23,27,37,918,8,0
49,91,49,389,3,0
47,111,13,253,1,0
52,81,34,210,1,0
57,103,53,589,4,0
33,81,51,441,3,0
30,130,3,818,6,0
59,146,42,726,13,0
47,26,32,624,10,0
36,103,51,583,4,0
34,77,46,119,5,0
36,41,21,942,9,0
45,146,44,454,3,0
43,22,11,657,12,0
54,146,68,724,11,0
43,60,1,640,1,0
40,125,63,566,12,0
26,33,24,877,9,0
29,31,13,169,8,0
18,106,11,863,9,1
18,31,51,739,14,0
51,44,17,737,6,0
49,64,24,951,3,0
42,141,19,266,2,0
57,74,37,105,9,0
18,119,8,415,13,1
33,138,28,748,14,0
56,72,5,553,2,0
22,51,17,793,8,0
39,70,36,816,4,0
46,63,19,974,12,0
20,101,64,504,14,0
29,56,11,153,2,0
43,115,54,126,14,1
33,75,45,279,4,0
54,124,47,963,1,0
39,78,12,307,10,0
46,54,21,313,3,0
31,112,11,380,9,1
45,116,5,231,1,1
22,95,56,942,1,0
47,68,20,817,11,0
22,113,41,599,7,0
29,43,46,737,0,0
33,56,12,76,13,0
43,23,70,325,6,0
43,127,17,701,4,0
38,145,19,348,14,1
56,39,26,848,10,0
53,69,48,140,7,0
50,115,52,529,0,0
47,124,70,622,10,0
54,136,55,507,6,0
40,117,33,500,4,0
27,85,62,414,3,0
22,98,23,908,6,0
53,25,15,724,9,0
51,58,27,400,14,0
48,134,64,704,1,0
27,144,51,449,11,1
36,31,53,302,14,0
49,37,51,830,0,0
18,59,47,930,0,0
22,40,4,852,10,0
21,118,7,508,11,1
33,45,35,748,0,0
41,27,48,966,14,0
33,119,45,548,11,0
19,106,19,999,4,0
45,61,63,975,9,0
49,33,38,557,6,0
44,97,67,353,1,0
37,21,59,550,9,0
41,138,69,852,7,0
29,56,13,647,3,0
52,88,47,215,11,0
50,60,61,464,2,0
50,81,31,511,9,0
54,79,22,969,10,0
29,144,43,163,7,1
20,130,67,482,1,0
18,33,54,405,10,0
50,103,10,977,10,1
57,149,42,744,12,0
27,89,64,256,2,0
46,142,21,817,11,0
30,108,66,284,2,0
29,47,41,491,9,0
48,85,24,404,10,0
19,24,35,564,0,0
52,64,56,257,5,0
40,66,30,758,1,0
34,50,57,902,0,0
43,29,47,174,1,0
25,137,35,187,11,1
46,33,19,388,5,0
43,99,8,586,13,1
27,112,26,117,3,0
43,29,71,622,5,0
51,95,30,590,11,0
58,113,7,432,8,1
24,124,67,68,12,1
21,20,65,732,9,0
28,39,36,499,11,0
46,27,25,123,9,0
53,20,37,622,7,0
42,76,1,988,0,0
38,83,15,714,12,0
53,137,37,325,7,1
27,47,13,97,8,0
54,140,8,260,5,1
26,126,5,904,9,1
41,68,60,969,14,0
52,139,1,700,4,0
52,63,36,671,5,0
53,75,35,744,12,0
35,130,66,589,5,0
56,127,63,758,8,0
49,133,23,240,3,0
41,97,9,364,1,1
40,149,34,950,10,0
49,56,46,612,10,0
54,39,4,710,8,0
29,45,30,829,1,0
30,48,3,611,9,0
40,20,14,949,8,0
42,138,60,807,1,0
52,54,45,162,11,0
58,78,34,219,7,0
47,88,45,517,8,0
34,31,61,727,11,0
37,39,16,970,9,0
42,62,66,63,8,0
39,145,40,764,9,0
30,69,17,337,8,0
36,48,34,956,1,0
53,58,16,238,3,0
29,57,60,963,6,0
58,103,66,204,11,1
36,147,66,616,1,0
29,145,13,743,0,0
26,64,56,771,2,0
24,71,31,937,11,0
45,99,34,520,3,0
31,143,39,124,7,1
48,138,67,326,5,0
36,27,8,989,10,0
33,104,55,694,1,0
22,148,27,392,14,1
52,27,53,474,8,0
29,115,39,620,13,0
42,121,65,560,1,0
38,24,17,906,12,0
53,105,30,231,14,1
40,53,53,507,11,0
33,74,13,967,4,0
56,138,21,900,11,0
59,133,19,882,3,0
56,45,53,113,12,0
31,66,19,888,6,0
48,132,57,309,7,1
22,95,25,242,4,0
52,91,31,704,9,0
40,108,55,665,13,0
46,65,23,455,13,0
28,52,32,775,4,0
35,20,62,803,1,0
29,50,10,992,7,0
26,72,54,770,13,0
27,67,52,142,1,0
34,88,20,479,9,0
55,124,32,703,11,0
24,109,14,483,5,0
30,82,50,453,7,0
57,92,28,483,5,0
59,108,53,161,3,0
26,32,24,978,12,0
44,92,22,424,3,0
19,96,30,108,5,0
22,87,63,92,13,0
46,117,4,256,14,1
54,144,59,829,12,0
55,121,8,345,3,1
36,121,12,167,7,1
25,38,31,581,8,0
18,101,34,271,0,0
39,42,49,215,12,0
34,102,57,692,3,0
24,128,26,205,3,0
42,94,18,233,1,0
21,148,38,139,5,0
53,107,50,143,2,0
23,73,8,62,6,0
48,108,41,883,12,0
36,84,6,854,10,0
56,95,69,994,10,0
44,79,44,791,4,0
27,112,64,883,3,0
43,68,29,853,4,0
36,54,28,487,7,0
56,121,11,587,2,0
20,30,65,636,13,0
30,118,19,925,6,0
45,129,9,985,14,1
37,93,27,860,13,0
45,28,34,199,5,0
25,22,44,709,11,0
58,104,68,57,0,0
56,45,15,78,12,0
18,91,51,345,6,0
20,67,13,975,13,0
30,136,49,770,12,0
45,31,70,689,6,0
42,67,56,389,13,0
50,56,51,677,14,0
55,63,37,488,11,0
23,34,17,193,0,0
49,62,58,991,8,0
38,106,29,879,5,0
33,89,33,796,14,0
38,65,60,568,11,0
28,127,55,94,1,0
54,142,10,288,4,1
53,40,47,993,12,0
52,126,23,204,10,1
36,99,21,230,3,0
37,66,13,264,6,0
35,136,33,137,7,1
58,143,24,305,10,1
31,44,11,560,13,0
32,55,17,122,14,0
48,70,68,980,10,0
18,34,47,228,0,0
20,87,25,261,4,0
33,40,21,854,14,0
40,38,12,283,2,0
28,53,37,514,0,0
29,97,42,800,11,0
27,144,17,272,2,0
49,136,48,680,13,0
33,71,28,874,5,0
25,46,41,313,13,0
55,54,47,256,6,0
29,125,18,656,7,0
41,21,71,934,12,0
45,96,13,783,10,0
25,109,13,415,3,0
45,108,31,325,2,0
53,113,2,429,4,1
43,26,16,792,8,0
25,114,9,358,12,1
45,127,38,680,5,0
45,93,54,317,14,1
54,58,56,994,8,0
58,90,45,834,14,0
53,75,34,113,5,0
44,61,9,859,1,0
34,55,8,399,12,1
26,103,7,974,4,0
50,137,36,964,11,0
37,26,18,543,10,0
30,73,3,572,8,0
45,148,28,147,7,1
46,139,70,995,6,0
30,125,44,120,0,0
52,66,21,413,3,0
23,142,28,619,11,0
35,138,54,851,6,0
22,137,54,812,10,0
42,40,65,325,6,0
19,45,21,99,14,0
27,28,13,407,5,0
47,34,57,777,7,0
22,29,49,955,10,0
50,141,54,977,12,0
18,140,10,613,5,0
35,144,53,832,9,0
49,91,44,534,2,0
28,68,47,133,3,0
38,110,53,948,13,0
43,56,46,854,2,0
42,87,13,687,0,0
39,69,37,857,14,0
44,38,24,633,9,0
30,119,2,345,4,1
50,79,14,285,14,0
51,108,10,105,0,1
58,88,35,968,0,0
52,68,25,409,1,0
18,127,3,956,12,1
38,138,17,159,3,0
23,56,12,241,5,0
45,30,54,953,7,0
34,97,24,142,12,1
22,96,29,911,2,0
48,21,43,617,0,0
22,83,25,109,2,0
55,54,60,699,11,0
20,26,65,88,2,0
40,104,28,589,4,0
54,86,16,98,10,0
54,61,47,469,11,0
27,137,58,686,11,0
27,144,27,62,3,0
36,43,53,85,12,0
34,65,42,150,3,0
38,38,59,843,8,0
31,87,47,135,6,0
26,121,34,565,3,0
18,61,37,272,2,0
30,51,6,387,5,0
21,128,7,215,2,1
18,55,25,432,5,0
57,116,33,905,10,0
49,92,55,944,12,0
51,116,58,425,10,1
45,142,7,520,12,1
48,89,57,839,12,0
25,32,12,691,11,0
56,68,16,80,8,0
43,79,43,424,5,0
51,149,7,60,11,1
20,24,51,351,3,0
29,46,32,145,14,0
18,27,8,239,4,0
22,69,45,502,12,0
47,86,59,241,5,0
47,63,4,535,10,0
34,144,67,315,2,0
40,77,29,473,7,0
32,22,29,177,3,0
54,105,28,287,7,1
38,89,44,969,9,0
31,149,4,404,9,1
19,21,9,989,2,0
28,121,5,161,9,1
56,54,56,877,6,0
55,117,50,495,10,1
51,49,15,392,12,0
55,135,32,194,11,1
51,27,28,114,8,0
35,63,22,296,3,0
47,55,17,784,7,0
32,96,59,539,2,0
44,50,71,874,6,0
51,66,57,488,2,0
55,74,26,155,11,0
50,125,25,230,14,1
41,140,10,233,14,1
32,74,45,275,6,0
47,31,11,826,13,0
59,22,53,839,10,0
34,49,68,958,9,0
22,42,28,138,9,0
46,111,65,737,10,0
21,134,49,579,10,0
27,123,47,420,5,0
34,137,52,985,1,0
27,24,54,962,10,0
34,123,60,448,2,0
37,127,57,155,5,0
41,84,47,320,13,0
22,140,31,880,3,0
51,49,46,552,5,0
23,103,26,728,0,0
19,51,5,574,9,0
30,35,52,898,11,0
28,57,54,81,0,0
40,55,33,442,2,0
33,133,50,89,7,1
48,85,38,709,7,0
28,124,27,267,10,1
33,104,15,780,3,0
25,21,61,131,5,0
21,94,21,894,14,0
57,86,46,769,7,0
21,74,69,250,6,0
42,25,6,496,10,1
20,105,38,893,6,0
49,79,62,477,12,0
20,120,62,87,3,0
44,31,46,260,8,0
46,68,13,493,11,0
49,61,3,376,9,1
36,101,6,810,5,0
38,54,8,276,13,1
22,86,44,97,11,0
35,99,33,67,10,1
45,26,50,961,2,0
59,33,11,488,4,0
39,92,28,856,4,0
38,85,70,757,13,0
23,110,41,236,4,0
18,149,16,394,7,1
22,39,68,273,8,0
58,29,48,879,12,0
29,44,56,537,8,0
43,44,64,958,12,0
51,73,59,926,5,0
31,52,62,898,5,0
43,114,11,278,8,1
44,33,18,439,3,0
26,84,19,638,5,0
43,129,55,237,3,0
39,99,26,907,10,0
47,73,6,319,0,0
34,144,4,656,6,0
43,44,29,359,13,0
53,136,59,181,9,1
18,44,17,600,10,0
25,98,43,121,11,1
52,87,66,842,5,0
32,31,34,894,8,0
39,51,8,721,6,0
31,147,13,236,12,1
43,115,8,535,6,0
45,111,65,240,1,0
40,50,43,471,11,0
31,97,39,169,10,1
41,39,59,269,14,0
19,79,44,102,8,0
43,112,9,783,9,1
31,62,37,500,8,0
24,149,36,461,5,0
20,79,28,692,12,0
40,50,42,286,2,0
35,24,43,807,0,0
55,29,42,787,3,0
52,108,66,769,13,0
32,149,55,455,13,1
42,145,48,657,2,0
54,30,22,471,13,0
45,75,27,761,11,0
27,102,67,296,0,0
56,118,13,121,2,0
34,92,45,879,13,0
56,134,10,234,13,1
39,26,9,55,3,0
43,99,54,255,12,1
42,116,27,593,12,0
34,23,34,660,14,0
30,23,1,955,13,0
37,122,32,436,7,1
42,59,71,817,8,0
21,36,67,748,2,0
27,120,20,125,5,0
20,122,35,226,9,1
58,143,17,876,10,0
35,71,18,848,14,0
53,71,45,398,4,0
39,143,53,304,5,0
51,82,68,886,3,0
25,135,65,751,9,0
57,81,1,357,5,0
36,26,58,394,6,0
59,111,26,176,8,1
58,33,20,986,9,0
54,105,10,336,6,1
23,149,59,815,5,0
43,81,41,774,0,0
51,98,5,811,1,0
23,77,65,645,0,0
54,139,17,536,8,0
50,84,22,432,9,0
39,32,41,455,9,0
38,101,68,437,8,1
23,71,69,574,6,0
23,136,11,606,12,1
21,45,56,688,1,0
47,53,51,987,5,0
28,71,21,675,10,0
47,131,26,994,3,0
48,101,19,325,0,0
41,61,60,549,0,0
26,40,71,766,11,0
20,61,47,386,4,0
48,132,71,999,11,0
57,124,26,981,1,0
54,36,40,530,3,0
53,139,5,946,0,0
41,148,21,960,3,0
48,149,4,322,10,1
23,79,23,969,5,0
19,67,15,107,9,0
37,48,8,377,3,0
45,116,41,780,0,0
28,29,19,158,6,0
21,77,46,328,13,0
32,40,28,735,1,0
23,47,68,377,8,0
47,53,15,825,12,0
55,27,37,364,2,0
19,98,1,523,7,1
32,106,67,160,12,1
28,107,24,748,7,0
25,88,27,830,2,0
43,106,40,984,3,0
22,120,63,278,1,0
23,27,61,546,3,0
43,96,36,205,10,1
21,106,24,522,10,0
36,62,24,750,10,0
37,148,4,321,13,1
50,128,67,936,8,0
37,36,34,51,1,0
29,40,57,807,11,0
18,77,49,771,11,0
43,129,53,560,12,0
31,47,23,962,2,0
55,70,69,335,14,0
54,24,53,920,10,0
28,24,62,62,10,0
53,113,41,657,14,0
30,115,57,547,3,0
20,27,60,782,4,0
50,83,54,287,0,0
23,57,70,143,6,0
27,130,57,387,13,1
22,131,10,830,9,1
40,100,40,220,6,0
27,123,7,655,8,1
19,92,38,710,3,0
30,68,61,673,13,0
57,55,3,616,13,0
19,145,51,898,5,0
37,87,47,985,10,0
18,97,68,516,1,0
54,124,38,677,11,0
26,141,36,192,11,1
34,138,41,250,13,1
26,133,69,229,3,0
28,29,13,763,1,0
32,110,58,413,9,1
41,21,50,528,4,0
55,137,30,614,14,0
52,32,62,520,6,0
47,114,25,433,12,1
48,51,27,741,0,0
22,51,51,975,14,0
31,143,57,466,9,1
28,30,47,874,9,0
26,29,39,357,6,0
51,34,16,698,9,0
29,36,22,743,12,0
52,78,54,416,5,0
52,97,21,50,5,0
18,143,16,93,11,1
57,133,59,788,7,0
39,41,31,892,7,0
46,51,42,147,5,0
25,132,32,769,2,0
28,139,59,314,4,0
58,141,34,849,1,0
54,51,9,832,14,0
31,138,11,189,13,1
47,58,10,530,4,0
52,31,17,286,13,0
38,37,68,953,8,0
54,145,48,121,9,1
22,65,52,716,0,0
36,123,25,239,9,1
31,105,21,317,4,0
43,108,65,370,11,1
21,41,63,156,5,0
42,111,51,281,13,1
59,48,36,91,10,0
42,32,66,751,6,0
35,21,15,932,8,0
57,48,39,188,5,0
25,46,70,664,4,0
56,69,1,732,11,0
57,114,23,912,6,0
31,107,39,322,12,1
49,63,57,530,0,0
55,41,34,465,10,0
50,116,41,555,13,0
40,22,13,782,4,0
32,137,70,774,14,0
50,38,6,902,1,0
42,42,52,473,3,0
34,49,3,456,6,0
50,58,63,617,4,0
19,127,49,439,11,1
31,130,47,391,5,0
57,44,55,995,1,0
57,147,64,663,2,0
56,130,65,982,6,0
23,125,67,542,10,0
23,91,15,241,1,0
20,148,32,548,11,0
24,127,68,871,5,0
25,24,18,761,4,0
59,22,43,282,9,0
32,123,35,994,0,0
46,83,58,276,11,0
50,125,33,420,10,1
47,117,14,188,14,1
56,29,34,905,9,0
44,147,61,866,10,0
53,65,4,198,3,0
46,85,59,164,10,0
55,131,29,499,1,0
50,32,6,112,3,0
54,105,49,153,0,0
44,109,40,900,1,0
50,77,65,920,12,0
21,73,69,717,7,0
39,31,27,322,5,0
19,33,6,55,1,0
27,140,13,196,11,1
22,140,64,233,14,1
27,39,62,77,5,0
50,94,19,599,9,0
55,89,43,168,8,0
30,75,20,342,6,0
48,120,68,420,8,1
53,130,44,293,4,0
41,144,23,629,6,0
32,39,2,775,10,0
46,43,22,267,14,0
25,56,57,226,13,0
22,73,7,348,6,0
46,122,56,725,11,0
21,57,67,107,11,0
29,23,16,318,2,0
19,76,51,357,6,0
44,39,12,619,0,0
48,36,53,337,8,0
53,138,5,154,9,1
53,90,27,277,12,0
43,23,12,296,5,0
44,33,17,749,4,0
22,22,6,543,6,0
37,99,5,132,4,1
28,74,57,235,9,0
27,139,28,301,4,0
57,43,69,404,10,0
55,101,59,799,9,0
23,79,33,921,10,0
25,68,62,745,6,0
40,82,50,845,9,0
43,129,19,946,14,0
29,128,69,987,6,0
43,95,66,259,12,1
30,49,47,865,10,0
57,77,39,857,14,0
35,136,68,658,2,0
42,119,33,496,2,0
50,38,13,509,9,0
57,113,54,521,11,0
29,132,7,769,12,1
53,82,14,419,14,0
21,135,19,949,2,0
22,132,54,983,5,0
54,66,20,541,11,0
25,76,29,972,14,0
59,137,24,186,5,0
45,64,63,416,12,0
48,23,57,961,12,0
26,66,8,233,2,0
46,66,62,637,2,0
31,97,29,336,7,1
57,143,17,521,7,0
58,94,66,424,6,0
39,122,6,703,9,1
28,109,58,798,3,0
40,88,69,586,14,0
18,80,28,560,3,0
54,69,62,851,2,0
38,22,41,628,4,0
43,126,69,299,2,0
53,132,41,969,12,0
40,113,49,559,7,0
18,137,49,679,6,0
57,100,71,122,12,1
32,128,3,331,2,1
38,70,10,965,8,0
26,54,35,409,11,0
26,65,2,59,13,1
27,88,24,260,12,0
43,112,38,884,4,0
58,83,22,201,8,0
52,68,26,54,6,0
42,93,43,244,14,1
43,24,55,332,6,0
28,119,39,513,5,0
55,89,29,162,1,0
19,109,20,320,8,1
24,23,41,212,5,0
35,145,54,509,7,0
44,58,20,154,0,0
51,148,19,742,4,0
44,43,66,605,11,0
34,76,30,331,0,0
41,119,53,736,9,0
42,89,34,211,10,0
24,60,22,400,13,0
23,79,67,483,7,0
41,127,6,901,7,1
50,76,27,189,0,0
46,50,10,520,8,0
39,103,48,181,1,0
43,55,70,136,11,0
45,127,59,737,8,0
38,125,59,232,0,0
24,105,2,417,11,1
34,33,29,178,9,0
37,139,68,295,13,1
58,99,65,650,13,0
37,125,26,627,8,0
39,89,10,719,3,0
45,63,53,948,8,0
57,92,59,427,6,0
24,64,22,198,10,0
18,126,51,901,5,0
49,103,48,482,14,1
30,101,21,677,4,0
47,126,22,775,10,0
40,40,30,518,8,0
36,26,25,495,1,0
49,89,28,530,13,0
47,146,65,933,12,0
46,139,45,343,10,1
46,147,68,814,13,0
47,76,7,192,11,1
33,77,49,299,1,0
57,40,9,927,10,0
36,101,36,997,11,0
35,88,1,351,14,1
18,106,10,74,8,1
31,68,36,838,11,0
19,134,46,938,2,0
45,108,32,939,7,0
47,104,32,950,10,0
55,147,6,119,14,1
21,136,48,674,8,0
18,146,38,924,7,0
25,90,17,161,3,0
46,105,27,413,11,1
56,52,54,352,0,0
20,100,50,520,3,0
49,80,35,140,13,0
27,80,25,579,8,0
27,117,28,710,1,0
36,47,15,788,2,0
51,62,4,775,9,0
50,105,27,921,7,0
40,36,26,712,5,0
45,117,19,241,7,1
49,117,17,601,6,0
24,84,43,291,13,0
46,93,41,187,12,1
25,104,42,394,12,1
18,24,50,229,4,0
20,21,40,761,8,0
41,41,39,552,3,0
40,131,23,252,5,0
25,76,52,622,1,0
54,85,47,241,14,0
20,93,63,54,1,0
50,117,69,939,1,0
45,131,43,286,9,1
25,144,48,742,6,0
51,105,34,360,12,1
52,95,40,598,1,0
49,107,61,105,14,1
41,57,50,492,14,0
31,78,67,286,11,0
49,118,62,919,14,0
33,82,58,910,12,0
21,68,33,246,1,0
54,51,16,634,14,0
38,40,48,620,8,0
31,39,10,801,6,0
48,146,38,563,10,0
35,87,19,498,2,0
24,129,36,409,2,0
27,135,59,749,6,0
24,139,63,868,4,0
50,98,46,79,9,1
40,135,3,828,13,1
